"AcanQuad_1","ArioFeli_2","ChaeFabe_1","ChilShoe_1","ChilShoe_2","GimnMicr_1","GimnMicr_2","HaemBona","OpsaBeta_1","OrthChry_2","PrioPunc_1","SphoSpen_1","SphoTest_1","SphoTest_2","SphoTest_3","SynoFoet_2","SynoFoet_3","UrobJama_1","Sdmt_A","Sdmt_B","Sdmt_C","Wtr_A","Wtr_B","Wtr_C"
9797.4149,5370.5454,14291.1483,0,0,0,0,0,0,12389.5179,0,10429.7929,0,4090.3279,0,3188.608,4121.4638,4156.7459,4838.1099,4050.3821,3407.6427,2413.6523,3801.7679,4372.4965
0,4867.6124,0,3785.452,0,14496.1679,0,0,2899.1406,3707.8724,0,3195.1255,4039.1488,7218.567,5481.3916,0,0,0,4725.2039,12444.7085,10592.7286,5421.2123,4423.7005,5796.731
0,5813.3055,0,0,0,0,0,0,0,0,0,0,2630.9798,0,0,0,6031.0174,0,2750.9684,0,0,2732.0592,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9876.1403,0,3009.8712,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45769.135,0,0,0,3711.5494,2927.2991,0,0,0
3022.5446,0,0,0,0,2678.7933,0,0,0,0,0,3237.7083,0,2253.5537,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5202.3891,0,0,0,3040.2373,0,0,0,0,4924.418,0,0,2273.0177,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2635.6058,0,0,0,0,4797.7834,3257.8557,4367.1835,10105.2717,3156.20085,0
0,0,0,0,0,0,0,0,0,2120.4048,2557.1564,2943.4131,0,0,0,0,4583.7949,0,0,0,3774.2558,0,0,0
3044.5542,14118.0088,7702.0595,8650.5904,2728.9002,7278.419,0,4967.1497,2013.3767,11373.3346,2507.2456,12273.1611,8404.1961,8708.0424,5081.9469,5515.3175,6966.8879,5471.9918,6402.0071,4422.2274,5083.5456,4232.2391,3782.1631,6008.3598
3936.2635,0,0,2359.1026,0,2871.1092,0,3336.6545,2420.8957,0,4895.3823,3470.7126,3760.5789,2031.9494,0,2002.5878,0,2821.12,0,2241.4636,0,0,0,5005.8713
8153.4474,13214.1798,2797.4025,0,2751.4766,8313.4863,4464.9224,7009.3812,3177.6746,7843.6367,3875.3062,9502.646,2210.1194,5925.2292,5828.7117,4047.513,5904.0724,7630.2402,3154.6122,0,2698.8804,2274.5967,3610.9048,6144.5943
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7303.5692,4339.0351,8692.6731,7012.6775,5362.6338,6677.8126,9648.4503,9778.1156,5510.3464,5435.6024,9001.5113,5525.78545,6544.9078,4103.03525,6185.0747,7134.1465,8330.30495,8325.8659,0,4476.7905,4301.1561,6627.5332,3369.9363,3995.8371
0,0,0,0,0,3147.6985,0,0,0,0,6533.0259,0,0,0,0,3011.5904,0,0,0,0,0,2095.2665,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3189.2062,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2308.5126,0
0,0,6086.9344,0,0,0,0,0,0,5010.5679,0,2804.2456,2603.105,0,0,3890.1614,3758.6728,0,4980.9409,2646.07855,2636.9669,3609.8467,0,0
12550.2776,9289.5072,22502.087,15590.0233,36575.915,10232.1763,12309.4173,22782.4166,15797.5235,23140.3419,16031.9991,24292.2074,17969.4593,6489.9183,13421.3613,12997.6788,14238.0005,12628.6431,0,4713.9537,8524.3669,2115.1616,7062.7592,7157.8767
0,5561.4248,0,2293.9395,0,2938.3173,0,3805.4533,2023.31,7126.5034,0,0,0,4185.4313,0,3111.8091,0,0,0,0,0,0,3244.9225,0
